1011,Ayaan Khan,Instrumentation Engineering,2024,IE2024011
1012,Ansh Agarwal,Mechatronics,2024,MT2024012
1013,Kabir Joshi,Metallurgical Engineering,2024,MTE2024013
1014,Parth Tiwari,Mining Engineering,2024,MNE2024014
1015,Rudra Mehra,Petroleum Engineering,2024,PE2024015
1016,Shaurya Chauhan,Textile Engineering,2024,TE2024016
1017,Advik Iyer,Agricultural Engineering,2024,AGE2024017
1018,Aarush Bansal,Biomedical Engineering,2024,BME2024018
1019,Neel Malhotra,Ceramic Engineering,2024,CRE2024019
1020,Yash Choudhary,Construction Engineering,2024,CNE2024020
1021,Samarth Bajaj,Dairy Technology,2024,DT2024021
1022,Atharv Narayanan,Environmental Engineering,2024,ENE2024022
1023,Abeer Puri,Fashion Technology,2024,FT2024023
1024,Darsh Khanna,Food Technology,2024,FDT2024024
1025,Laksh Kapoor,Genetic Engineering,2024,GE2024025
1026,Manan Sethi,Industrial Engineering,2024,INDE2024026
1027,Ojas Bhatia,Leather Technology,2024,LT2024027
1028,Pranav Chaddha,Marine Engineering,2024,MARE2024028
1029,Raghav Anand,Materials Engineering,2024,MATE2024029
1030,Rishi Ahluwalia,Medical Electronics,2024,MEDE2024030
1031,Rohan Ahuja,Nanotechnology,2024,NANO2024031
1032,Sarthak Bhasin,Nuclear Engineering,2024,NUE2024032
1033,Shivansh Chadha,Ocean Engineering,2024,OCE2024033
1034,Tanay Chopra,Paint Technology,2024,PT2024034
1035,Vedant Dhawan,Paper Technology,2024,PAPT2024035
1036,Yuvan Gandhi,Plastic Technology,2024,PLAST2024036
1037,Zayn Gill,Polymer Engineering,2024,POLY2024037
1038,Aadi Jha,Power Engineering,2024,POWE2024038
1039,Arnav Kulkarni,Production Engineering,2024,PRODE2024039
1040,Dev Luthra,Robotics Engineering,2024,ROBO2024040
1041,Kian Mahajan,Rubber Technology,2024,RUBT2024041
1042,Krish Malik,Software Engineering,2024,SE2024042
1043,Leo Mehta,Sound Engineering,2024,SOE2024043
1044,Mohammed Nanda,Space Technology,2024,SPCE2024044
1045,Nirvaan Oberoi,Sports Technology,2024,SPTE2024045
1046,Om Pandit,Systems Engineering,2024,SYSE2024046
1047,Ranbir Parekh,Telecommunication Engineering,2024,TELE2024047
1048,Veer Patel,Transportation Engineering,2024,TRNE2024048
1049,Vivaan Pillai,Virtual Reality,2024,VR2024049
1050,Yug Prasad,Water Resource Engineering,2024,WRE2024050
1001,Aarav Sharma,Computer Science,2024,CS2024001
1002,Vivaan Singh,Mechanical Engineering,2024,ME2024002
1003,Aditya Kumar,Electrical Engineering,2024,EE2024003
1004,Vihaan Gupta,Civil Engineering,2024,CE2024004
1005,Arjun Patel,Information Technology,2024,IT2024005
1006,Sai Reddy,Electronics and Communication,2024,ECE2024006
1007,Reyansh Mishra,Biotechnology,2024,BT2024007
1008,Krishna Yadav,Chemical Engineering,2024,CHE2024008
1009,Ishaan Verma,Aerospace Engineering,2024,AE2024009
1010,Dhruv Shah,Automobile Engineering,2024,AUE2024010
